Códigos das respostas,Respostas Possíveis,Código da variável,Número do item da pergunta,Ano
3,De um mês até menos de três meses,P00201,P2a,2019
4,De três meses até menos de seis meses,P00201,P2a,2019
5,De seis meses ou mais,P00201,P2a,2019
6,Nunca se pesou,P00201,P2a,2019
9 ,Ignorado,P00201,P2a,2019
1,Sim,P00402,P4a,2019
2,Não sabe/Não lembra,P00402,P4a,2019
1 a 299,Centímetros,P00403,P4a,2019
999,Ignorado,P00403,P4a,2019
1 a 299,Centímetros,P00404,P4a,2019
999,Ignorado,P00404,P4a,2019
0,Não,P00405,P4a,2019
1,Sim,P00405,P4a,2019
1,Sim,P005,P5,2019
2,Não,P005,P5,2019
3,Não sabe,P005,P5,2019
1,Sim,P00601,P6a,2019
2,Não,P00601,P6a,2019
9 ,Ignorado,P00601,P6a,2019
1,Sim,P00602,P6a,2019
2,Não,P00602,P6a,2019
9 ,Ignorado,P00602,P6a,2019
1,Sim,P00603,P6a,2019
2,Não,P00603,P6a,2019
9 ,Ignorado,P00603,P6a,2019
1,Sim,P00604,P6a,2019
2,Não,P00604,P6a,2019
9 ,Ignorado,P00604,P6a,2019
1,Sim,P00605,P6a,2019
2,Não,P00605,P6a,2019
9 ,Ignorado,P00605,P6a,2019
1,Sim,P00607,P6a,2019
2,Não,P00607,P6a,2019
9 ,Ignorado,P00607,P6a,2019
1,Sim,P00608,P6a,2019
2,Não,P00608,P6a,2019
9 ,Ignorado,P00608,P6a,2019
1,Sim,P00609,P6a,2019
2,Não,P00609,P6a,2019
9 ,Ignorado,P00609,P6a,2019
1,Sim,P00610,P6a,2019
2,Não,P00610,P6a,2019
9 ,Ignorado,P00610,P6a,2019
1,Sim,P00611,P6a,2019
2,Não,P00611,P6a,2019
9 ,Ignorado,P00611,P6a,2019
1,Sim,P00612,P6a,2019
2,Não,P00612,P6a,2019
9 ,Ignorado,P00612,P6a,2019
1,Sim,P00613,P6a,2019
2,Não,P00613,P6a,2019
9 ,Ignorado,P00613,P6a,2019
1,Sim,P00614,P6b,2019
2,Não,P00614,P6b,2019
9 ,Ignorado,P00614,P6b,2019
1,Sim,P00615,P6b,2019
2,Não,P00615,P6b,2019
9 ,Ignorado,P00615,P6b,2019
1,Sim,P00616,P6b,2019
2,Não,P00616,P6b,2019
9 ,Ignorado,P00616,P6b,2019
1,Sim,P00617,P6b,2019
2,Não,P00617,P6b,2019
9 ,Ignorado,P00617,P6b,2019
1,Sim,P00618,P6b,2019
2,Não,P00618,P6b,2019
9 ,Ignorado,P00618,P6b,2019
1,Sim,P00619,P6b,2019
2,Não,P00619,P6b,2019
9 ,Ignorado,P00619,P6b,2019
1,Sim,P00620,P6b,2019
2,Não,P00620,P6b,2019
9 ,Ignorado,P00620,P6b,2019
1,Sim,P00621,P6b,2019
2,Não,P00621,P6b,2019
9 ,Ignorado,P00621,P6b,2019
1,Sim,P00622,P6b,2019
2,Não,P00622,P6b,2019
9 ,Ignorado,P00622,P6b,2019
1,Sim,P00623,P6b,2019
2,Não,P00623,P6b,2019
9 ,Ignorado,P00623,P6b,2019
1 a 7,Dias,P006,P6,2019
0,Nunca ou menos de uma vez por semana,P006,P6,2019
9 ,Ignorado,P006,P6,2019
1 a 7,Dias,P00901,P9a,2019
0,Nunca ou menos de uma vez por semana,P00901,P9a,2019
9 ,Ignorado,P00901,P9a,2019
1,Uma vez por dia (no almoço ou no jantar).,P01001,P10a,2019
2,Duas vezes por dia (no almoço e no jantar).        ,P01001,P10a,2019
3,Três vezes ou mais por dia.,P01001,P10a,2019
9 ,Ignorado,P01001,P10a,2019
1 a 7,Dias,P01101,P11a,2019
0,Nunca ou menos de uma vez por semana.,P01101,P11a,2019
9 ,Ignorado,P01101,P11a,2019
1 a 7,Dias,P013,P13,2019
0,Nunca ou menos de uma vez por semana.,P013,P13,2019
9 ,Ignorado,P013,P13,2019
1 a 7,Dias,P015,P15,2019
0,Nunca ou menos de uma vez por semana.,P015,P15,2019
9 ,Ignorado,P015,P15,2019
1 a 7,Dias,P02001,P20a,2019
0,Nunca ou menos de uma vez por semana.,P02001,P20a,2019
9 ,Ignorado,P02001,P20a,2019
1,Diet/Light/Zero                                     ,P02101,P21a,2019
2,Normal,P02101,P21a,2019
3,Ambos.,P02101,P21a,2019
9 ,Ignorado,P02101,P21a,2019
1 a 7,Dias,P01601,P16a,2019
0,Nunca ou menos de uma vez por semana. ,P01601,P16a,2019
9 ,Ignorado,P01601,P16a,2019
1 a 7,Dias,P018,P18,2019
0,Nunca ou menos de uma vez por semana.  ,P018,P18,2019
9 ,Ignorado,P018,P18,2019
1,Uma vez por dia,P019,P19,2019
2,Duas vezes por dia,P019,P19,2019
3,Três vezes ou mais por dia.,P019,P19,2019
9 ,Ignorado,P019,P19,2019
1 a 7,Dias,P02002,P20b,2019
0,Nunca ou menos de uma vez por semana. ,P02002,P20b,2019
9 ,Ignorado,P02002,P20b,2019
1,Diet/Light/Zero,P02102,P21b,2019
2,Normal,P02102,P21b,2019
3,Ambos,P02102,P21b,2019
9 ,Ignorado,P02102,P21b,2019
1 a 7,Dias,P023,P23,2019
0,Nunca ou menos de uma vez por semana.,P023,P23,2019
9 ,Ignorado,P023,P23,2019
1,Desnatado ou semidesnatado.,P02401,P24a,2019
2,Integral,P02401,P24a,2019
3,Os dois tipos,P02401,P24a,2019
9 ,Ignorado,P02401,P24a,2019
1 a 7,Dias,P02501,P25a,2019
0,Nunca ou menos de uma vez por semana,P02501,P25a,2019
9 ,Ignorado,P02501,P25a,2019
1 a 7,Dias,P02602,P26b,2019
0,Nunca ou menos de uma vez por semana,P02602,P26b,2019
9 ,Ignorado,P02602,P26b,2019
1,Muito alto,P02601,P26a,2019
2,Alto,P02601,P26a,2019
3,Adequado,P02601,P26a,2019
4,Baixo,P02601,P26a,2019
5,Muito baixo,P02601,P26a,2019
9 ,Ignorado,P02601,P26a,2019
1,Não bebo nunca,P027,P27,2019
2,Menos de uma vez por mês,P027,P27,2019
3,Uma vez ou mais por mês,P027,P27,2019
9 ,Ignorado,P027,P27,2019
1 a 7,Dias,P02801,P28a,2019
0,Nunca ou menos de uma vez por semana,P02801,P28a,2019
9 ,Ignorado,P02801,P28a,2019
1 a 98,Doses,P029,P29,2019
99,Ignorado,P029,P29,2019
1,Sim,P03201,P32a,2019
2,Não,P03201,P32a,2019
9 ,Ignorado,P03201,P32a,2019
1 a 98,Doses,P03202,P32b,2019
99,Ignorado,P03202,P32b,2019
1,Sim,P03001,P30a,2019
2,Não,P03001,P30a,2019
9 ,Ignorado,P03001,P30a,2019
1,Nenhuma vez.,P03301,P33a,2019
2,Uma vez por mês ou menos,P03301,P33a,2019
3,Duas a quatro vezes por mês,P03301,P33a,2019
4,Duas a três vezes por semana,P03301,P33a,2019
5,Quatro ou mais vezes por semana,P03301,P33a,2019
9 ,Ignorado,P03301,P33a,2019
1,Nenhuma vez.,P03302,P33b,2019
2,Uma vez por mês ou menos,P03302,P33b,2019
3,Duas a quatro vezes por mês,P03302,P33b,2019
4,Duas a três vezes por semana,P03302,P33b,2019
5,Quatro ou mais vezes por semana,P03302,P33b,2019
9 ,Ignorado,P03302,P33b,2019
1,Não,P03303,P33c,2019
2,"Sim, em uma ocasião",P03303,P33c,2019
3,"Sim, em mais de uma ocasião",P03303,P33c,2019
9 ,Ignorado,P03303,P33c,2019
1,Sim,P034,P34,2019
2,Não,P034,P34,2019
9 ,Ignorado,P034,P34,2019
1 a 7,Dias,P035,P35,2019
0,Nunca ou menos de uma vez por semana,P035,P35,2019
9 ,Ignorado,P035,P35,2019
0 a 24,Horas,P03701,P37,2019
9 ,Ignorado,P03701,P37,2019
0 a 59,Minutos,P03702,P37,2019
99,Ignorado,P03702,P37,2019
01,Caminhada (não vale para o trabalho),P036,P36,2019
02,Caminhada em esteira,P036,P36,2019
03,Corrida/cooper,P036,P36,2019
04,Corrida em esteira,P036,P36,2019
05,Musculação,P036,P36,2019
06,Ginástica aeróbica/spinning/step/jump,P036,P36,2019
07,Hidroginástica,P036,P36,2019
08,Ginástica / localizada/pilates/alongamento/ioga,P036,P36,2019
09,Natação,P036,P36,2019
10,Artes marciais e luta,P036,P36,2019
11,Bicicleta/bicicleta ergométrica,P036,P36,2019
12,Futebol,P036,P36,2019
13,Basquetebol,P036,P36,2019
14,Voleibol,P036,P36,2019
15,Tênis,P036,P36,2019
16,Dança (com o objetivo de praticar atividade física),P036,P36,2019
17,Outro ,P036,P36,2019
99,Ignorado,P036,P36,2019
1,Sim,P038,P38,2019
2,Não,P038,P38,2019
9 ,Ignorado,P038,P38,2019
1,Sim,P039,P39,2019
2,Não,P039,P39,2019
9 ,Ignorado,P039,P39,2019
1 a 7 ,Dias,P03904,P39c,2019
9 ,Ignorado,P03904,P39c,2019
0 a 24,Horas,P03905,P39d,2019
9 ,Ignorado,P03905,P39d,2019
0 a 59,Minutos,P03906,P39d,2019
99,Ignorado,P03906,P39d,2019
1,"Sim, todo o trajeto",P040,P40,2019
2,"Sim, parte do trajeto",P040,P40,2019
3,Não,P040,P40,2019
9 ,Ignorado,P040,P40,2019
1 a 7 ,Dias,P04001,P40a,2019
0,Nunca ou menos de uma vez por semana,P04001,P40a,2019
9 ,Ignorado,P04001,P40a,2019
0 a 24,Horas,P04101,P41,2019
99,Ignorado,P04101,P41,2019
0 a 59,Minutos,P04102,P41,2019
99,Ignorado,P04102,P41,2019
1  a 7 ,Dias,P042,P42,2019
0,Nunca ou menos de uma vez por semana,P042,P42,2019
9 ,Ignorado,P042,P42,2019
0 a 24,Horas,P04301,P43,2019
99,Ignorado,P04301,P43,2019
0 a 59,Minutos,P04302,P43,2019
99,Ignorado,P04302,P43,2019
1,Sim,P044,P44,2019
2,Não,P044,P44,2019
9 ,Ignorado,P044,P44,2019
1 a 7,Dias,P04401,P44a,2019
9 ,Ignorado,P04401,P44a,2019
0 a 24,Horas,P04405,P44c,2019
99,Ignorado,P04405,P44c,2019
0 a 59,Minutos,P04406,P44c,2019
99,Ignorado,P04406,P44c,2019
1,Menos de uma hora,P04501,P45a,2019
2,De uma hora a menos de duas horas,P04501,P45a,2019
3,De duas horas a menos de três horas,P04501,P45a,2019
4,De três horas a menos de seis horas,P04501,P45a,2019
5,Seis horas ou mais,P04501,P45a,2019
6,Não assiste televisão,P04501,P45a,2019
9 ,Ignorado,P04501,P45a,2019
1,Menos de uma hora,P04502,P45b,2019
2,De uma hora a menos de duas horas,P04502,P45b,2019
3,De duas horas a menos de três horas,P04502,P45b,2019
4,De três horas a menos de seis horas,P04502,P45b,2019
5,Seis horas ou mais,P04502,P45b,2019
6,"Não costuma usar computador, tablet ou celular no tempo livre",P04502,P45b,2019
9 ,Ignorado,P04502,P45b,2019
1,Sim,P046,P46,2019
2,Não,P046,P46,2019
9 ,Ignorado,P046,P46,2019
1,Sim,P04701,P47a,2019
2,Não,P04701,P47a,2019
9 ,Ignorado,P04701,P47a,2019
1,Sim,P04801,P48a,2019
2,Não,P04801,P48a,2019
9 ,Ignorado,P04801,P48a,2019
1,Não é perto do meu domicílio,P04902,P49a,2019
2,O horário de funcionamento do programa é incompatível com minhas atividades de trabalho ou domésticas,P04902,P49a,2019
3,Não tem interesse nas atividades oferecidas,P04902,P49a,2019
4,O espaço não é seguro/iluminado,P04902,P49a,2019
5,Problemas de saúde ou incapacidade física,P04902,P49a,2019
6,Outro ,P04902,P49a,2019
9 ,Ignorado,P04902,P49a,2019
1,"Sim, diariamente",P050,P50,2019
2,"Sim, menos que diariamente",P050,P50,2019
3,Não fumo atualmente,P050,P50,2019
9 ,Ignorado,P050,P50,2019
1,Sim,P051,P51,2019
2,Não,P051,P51,2019
9 ,Ignorado,P051,P51,2019
1,"Sim, diariamente          ",P052,P52,2019
2,"Sim, menos que diariamente           ",P052,P52,2019
3,"Não, nunca fumei          ",P052,P52,2019
9 ,Ignorado,P052,P52,2019
1 a 98,Anos,P053,P53,2019
99,Ignorado,P053,P53,2019
1,Um ou mais por dia,P05401,P54,2019
2,Um ou mais por semana  ,P05401,P54,2019
3,Menos que uma vez por semana,P05401,P54,2019
4,Menos do que um por mês,P05401,P54,2019
5,Não fuma este produto ,P05401,P54,2019
9 ,Ignorado,P05401,P54,2019
1 a 98,Cigarros,P05402,P54a,2019
99,Ignorado,P05402,P54a,2019
1 a 98,Cigarros,P05403,P54a,2019
99,Ignorado,P05403,P54a,2019
1,Um ou mais por dia           ,P05404,P54b,2019
2,Um ou mais por semana   ,P05404,P54b,2019
3,Menos que uma vez por semana,P05404,P54b,2019
4,Menos do que um por mês,P05404,P54b,2019
5,Não fuma este produto,P05404,P54b,2019
9 ,Ignorado,P05404,P54b,2019
1 a 98,Cigarros,P05405,P54b,2019
99,Ignorado,P05405,P54b,2019
1 a 98,Cigarros,P05406,P54b,2019
99,Ignorado,P05406,P54b,2019
1,Um ou mais por dia            ,P05407,P54c,2019
2,Um ou mais por semana   ,P05407,P54c,2019
3,Menos que uma vez por semana,P05407,P54c,2019
4,Menos do que um por mês,P05407,P54c,2019
5,Não fuma este produto,P05407,P54c,2019
9 ,Ignorado,P05407,P54c,2019
1 a 98,Cigarros,P05408,P54c,2019
99,Ignorado,P05408,P54c,2019
1 a 98,Cigarros,P05409,P54c,2019
99,Ignorado,P05409,P54c,2019
1,Um ou mais por dia            ,P05410,P54d,2019
2,Um ou mais por semana   ,P05410,P54d,2019
3,Menos que uma vez por semana,P05410,P54d,2019
4,Menos do que um por mês,P05410,P54d,2019
5,Não fuma este produto,P05410,P54d,2019
9 ,Ignorado,P05410,P54d,2019
1 a 98,Cachimbos,P05411,P54d,2019
99,Ignorado,P05411,P54d,2019
1 a 98,Cachimbos,P05412,P54d,2019
99,Ignorado,P05412,P54d,2019
1,Um ou mais por dia           ,P05413,P54e,2019
2,Um ou mais por semana   ,P05413,P54e,2019
3,Menos que uma vez por semana,P05413,P54e,2019
4,Menos do que um por mês,P05413,P54e,2019
5,Não fuma este produto,P05413,P54e,2019
9 ,Ignorado,P05413,P54e,2019
1 a 98,charutos ou cigarrilhas,P05414,P54e,2019
99,Ignorado,P05414,P54e,2019
1 a 98,charutos ou cigarrilhas,P05415,P54e,2019
99,Ignorado,P05415,P54e,2019
1,Um ou mais por dia           ,P05416,P54f,2019
2,Um ou mais por semana   ,P05416,P54f,2019
3,Menos que uma vez por semana,P05416,P54f,2019
4,Menos do que um por mês,P05416,P54f,2019
5,Não fuma este produto,P05416,P54f,2019
9 ,Ignorado,P05416,P54f,2019
1 a 98,sessões de narguile,P05417,P54f,2019
99,Ignorado,P05417,P54f,2019
1 a 98,sessões de narguile,P05418,P54f,2019
99,Ignorado,P05418,P54f,2019
1,Um ou mais por dia           ,P05419,P54g,2019
2,Um ou mais por semana   ,P05419,P54g,2019
3,Menos que uma vez por semana,P05419,P54g,2019
4,Menos do que um por mês,P05419,P54g,2019
5,Não fuma este produto,P05419,P54g,2019
9 ,Ignorado,P05419,P54g,2019
1 a 98,Outro produto,P05421,P54g,2019
99,Ignorado,P05421,P54g,2019
1 a 98,Outro produto,P05422,P54g,2019
99,Ignorado,P05422,P54g,2019
1,Até cinco minutos,P055,P55,2019
2,De seis a 30 minutos,P055,P55,2019
3,De 31 a 60 minutos,P055,P55,2019
4,Mais de 60 minutos,P055,P55,2019
9 ,Ignorado,P055,P55,2019
1,Cigarros,P056,P56,2019
2,Maços,P056,P56,2019
3,Pacotes,P056,P56,2019
4,Nunca comprei cigarros para uso próprio,P056,P56,2019
9 ,Ignorado,P056,P56,2019
1 a 98,Cigarros,P05601,P56,2019
99,Ignorado,P05601,P56,2019
1 a 98,Maços,P05602,P56,2019
99,Ignorado,P05602,P56,2019
1 a 98,Cigarros,P05603,P56,2019
99,Ignorado,P05603,P56,2019
1 a 98,Pacotes,P05604,P56,2019
99,Ignorado,P05604,P56,2019
1 a 98,Maços,P05605,P56,2019
99,Ignorado,P05605,P56,2019
valor em reais,R$,P057,P57,2019
99999999,Ignorado,P057,P57,2019
1,Um ou mais por dia           ,P058,P58,2019
2,Um ou mais por semana  ,P058,P58,2019
3,Menos que uma vez por semana ,P058,P58,2019
4,Menos do que um por mês,P058,P58,2019
5,Não fumava este produto,P058,P58,2019
6,Não sabe,P058,P58,2019
1 a 98,Cigarros,P05801,P58,2019
99,Ignorado,P05801,P58,2019
1 a 98,Cigarros,P05802,P58,2019
99,Ignorado,P05802,P58,2019
1 a 98,Anos,P05901,P59,2019
99,Ignorado,P05901,P59,2019
1 a 11,Número de meses,P05902,P59,2019
9,Ignorado,P05902,P59,2019
1 a 3,Número de semanas,P05903,P59,2019
9,Ignorado,P05903,P59,2019
1 a 6,Número de dias,P05904,P59,2019
9,Ignorado,P05904,P59,2019
1,Sim,P05905,P59a,2019
2,Não,P05905,P59a,2019
3,Não passou por atendimento com profissional de saúde nos últimos doze meses.,P05905,P59a,2019
9,Ignorado,P05905,P59a,2019
1,Sim,P05906,P59b,2019
2,Não,P05906,P59b,2019
9 ,Ignorado,P05906,P59b,2019
1,Sim,P060,P60,2019
2,Não,P060,P60,2019
9 ,Ignorado,P060,P60,2019
1,Sim,P06101,P61a,2019
2,Não,P06101,P61a,2019
9 ,Ignorado,P06101,P61a,2019
1,Sim,P06102,P61b,2019
2,Não,P06102,P61b,2019
9 ,Ignorado,P06102,P61b,2019
1,Sim,P06103,P61c,2019
2,Não,P06103,P61c,2019
9 ,Ignorado,P06103,P61c,2019
1,Sim,P06104,P61d,2019
2,Não,P06104,P61d,2019
9 ,Ignorado,P06104,P61d,2019
1,Sim,P06105,P61e,2019
2,Não,P06105,P61e,2019
9 ,Ignorado,P06105,P61e,2019
1,"Sim, todos",P06106,P61f,2019
2,"Sim, alguns",P06106,P61f,2019
3,"Não, nenhum",P06106,P61f,2019
9 ,Ignorado,P06106,P61f,2019
01,"A consulta está marcada, mas ainda não foi realizada",P06302,P63a,2019
02,O tempo de espera no serviço de saúde era muito grande,P06302,P63a,2019
03,Não conseguiu marcar,P06302,P63a,2019
04,Não sabia quem procurar ou aonde ir,P06302,P63a,2019
05,Estava com dificuldades financeiras,P06302,P63a,2019
06,O plano de saúde não cobria o tratamento,P06302,P63a,2019
07,O serviço de saúde era distante ou teve dificuldade de transporte,P06302,P63a,2019
08,O horário de funcionamento do serviço de saúde era incompatível com as atividades de trabalho ou domésticas,P06302,P63a,2019
09,Não quis/Estou tentando parar sem ajuda de médico ou outro profissional de saúde,P06302,P63a,2019
10,Outro ,P06302,P63a,2019
99,Ignorado,P06302,P63a,2019
1,"Sim, diariamente",P067,P67,2019
2,"Sim, menos que diariamente",P067,P67,2019
3,Não usa,P067,P67,2019
9 ,Ignorado,P067,P67,2019
1,"Sim, diariamente",P06701,P67a,2019
2,"Sim, menos do que diariamente",P06701,P67a,2019
3,"Não, mas já usei no passado",P06701,P67a,2019
4,Nunca usei,P06701,P67a,2019
9 ,Ignorado,P06701,P67a,2019
1,Diariamente,P068,P68,2019
2,Semanalmente,P068,P68,2019
3,Mensalmente,P068,P68,2019
4,Menos que mensalmente,P068,P68,2019
5,Nunca,P068,P68,2019
9 ,Ignorado,P068,P68,2019
1,Sim,P069,P69,2019
2,Não,P069,P69,2019
3,Não sabe/Não lembra,P069,P69,2019
1,Sim,P06901,P69a,2019
2,Não,P06901,P69a,2019
3,Não sabe/Não lembra,P06901,P69a,2019
1,Sim,P07004,P70a,2019
2,Não,P07004,P70a,2019
3,Não sabe/Não lembra,P07004,P70a,2019
1,Sim,P07005,P70a,2019
2,Não,P07005,P70a,2019
3,Não sabe/Não lembra,P07005,P70a,2019
1,Sim,P07006,P70a,2019
2,Não,P07006,P70a,2019
3,Não sabe/Não lembra,P07006,P70a,2019
1,Sim,P07007,P70a,2019
2,Não,P07007,P70a,2019
3,Não sabe/Não lembra,P07007,P70a,2019
1,Sim,P07101,P71a,2019
2,Não,P07101,P71a,2019
3,Não sabe/Não lembra,P07101,P71a,2019
1,Sim,P07201,P72a,2019
2,Não,P07201,P72a,2019
9 ,Ignorado,P07201,P72a,2019
1,Menos de 6 meses,Q00101,Q1a,2019
2,De 6 meses a menos de 1 ano,Q00101,Q1a,2019
3,De 1 ano a menos de  2 anos,Q00101,Q1a,2019
4,De 2 anos a menos de 3 anos,Q00101,Q1a,2019
5,3 anos ou mais,Q00101,Q1a,2019
6,Nunca,Q00101,Q1a,2019
9 ,Ignorado,Q00101,Q1a,2019
1,Sim,Q00201,Q2a,2019
2,Não,Q00201,Q2a,2019
9 ,Ignorado,Q00201,Q2a,2019
1,Sim,Q00202,Q2b,2019
2,Não,Q00202,Q2b,2019
9 ,Ignorado,Q00202,Q2b,2019
0,Menos de 1 ano,Q003,Q3,2019
01 a 98,Anos,Q003,Q3,2019
99,Ignorado,Q003,Q3,2019
1,"Sim, regularmente            ",Q00401,Q4a,2019
2,"Não, só quando tem algum problema",Q00401,Q4a,2019
3,Nunca vai ao médico para acompanhamento da hipertensão arterial,Q00401,Q4a,2019
9 ,Ignorado,Q00401,Q4a,2019
01,O serviço de saúde é distante ou tem dificuldade de transporte,Q00502,Q5a,2019
02,O tempo de espera no serviço de saúde é muito grande,Q00502,Q5a,2019
03,Tem dificuldades financeiras,Q00502,Q5a,2019
04,Não acha necessário,Q00502,Q5a,2019
05,O horário de funcionamento do serviço de saúde é incompatível com suas atividades de trabalho ou domésticas,Q00502,Q5a,2019
06,Não conseguiu marcar consulta pelo plano,Q00502,Q5a,2019
07,Não sabe quem procurar ou aonde ir,Q00502,Q5a,2019
08,Não tem quem o(a) acompanhe,Q00502,Q5a,2019
09,O serviço de saúde não tem médico ou não funciona regularmente ,Q00502,Q5a,2019
10,A pressão está controlada,Q00502,Q5a,2019
11,Outro ,Q00502,Q5a,2019
99,Ignorado,Q00502,Q5a,2019
1,Sim,Q00503,Q5b,2019
2,Não,Q00503,Q5b,2019
9 ,Ignorado,Q00503,Q5b,2019
1,"Sim, todos ",Q00601,Q6a,2019
2,"Sim, alguns",Q00601,Q6a,2019
3,"Não, nenhum",Q00601,Q6a,2019
9 ,Ignorado,Q00601,Q6a,2019
1,Não conseguiu obter no serviço público de saúde,Q00602,Q6b,2019
2,Não conseguiu o(s) medicamento(s) no Aqui Tem Farmácia Popular ,Q00602,Q6b,2019
3,A farmácia era distante ou teve dificuldade de transporte,Q00602,Q6b,2019
4,Não conseguiu encontrar todos os medicamentos para comprar na farmácia,Q00602,Q6b,2019
5,Não tinha dinheiro para comprar,Q00602,Q6b,2019
6,Não achou necessário,Q00602,Q6b,2019
7,Não precisa mais tomar medicamentos porque a pressão está controlada ,Q00602,Q6b,2019
8,Outro ,Q00602,Q6b,2019
9 ,Ignorado,Q00602,Q6b,2019
1,"Sim, todos                  ",Q00801,Q8a,2019
2,"Sim, alguns",Q00801,Q8a,2019
3,"Não, nenhum",Q00801,Q8a,2019
9 ,Ignorado,Q00801,Q8a,2019
1,"Sim, todos                  ",Q009,Q9,2019
2,"Sim, alguns",Q009,Q9,2019
3,"Não, nenhum",Q009,Q9,2019
9 ,Ignorado,Q009,Q9,2019
1,Sim,Q010,Q10,2019
2,Não,Q010,Q10,2019
9 ,Ignorado,Q010,Q10,2019
1,Menos de 6 meses,Q01101,Q11a,2019
2,De 6 meses a menos de 1 ano,Q01101,Q11a,2019
3,De 1 ano a menos de  2 anos,Q01101,Q11a,2019
4,De 2 anos a menos de 3 anos,Q01101,Q11a,2019
5,3 anos ou mais,Q01101,Q11a,2019
6,Nunca,Q01101,Q11a,2019
9 ,Ignorado,Q01101,Q11a,2019
01,Farmácia,Q01202,Q12a,2019
02,Unidade básica de saúde (posto ou centro de saúde ou unidade de saúde da família),Q01202,Q12a,2019
03,"Policlínica pública, PAM (Posto de Assistência Médica) ou Centro de Especialidades público",Q01202,Q12a,2019
04,"UPA (Unidade de Pronto Atendimento), outro tipo de pronto atendimento público (24 horas), pronto-socorro ou emergência de hospital público",Q01202,Q12a,2019
05,Ambulatório de hospital público,Q01202,Q12a,2019
06,"Consultório particular clínica, privada ou ambulatório de hospital privado",Q01202,Q12a,2019
07,Pronto atendimento ou emergência de hospital privado,Q01202,Q12a,2019
08,No domicílio,Q01202,Q12a,2019
09,Outro serviço,Q01202,Q12a,2019
99,Ignorado,Q01202,Q12a,2019
1,Sim,Q014,Q14,2019
2,Não,Q014,Q14,2019
9 ,Ignorado,Q014,Q14,2019
1,Sim,Q015,Q15,2019
2,Não,Q015,Q15,2019
3,Não sabe,Q015,Q15,2019
1,Sim,Q016,Q16,2019
2,Não,Q016,Q16,2019
9 ,Ignorado,Q016,Q16,2019
1,Sim,Q017,Q17,2019
2,Não,Q017,Q17,2019
3,"Não, pois não tinha realizado exames ",Q017,Q17,2019
9 ,Ignorado,Q017,Q17,2019
1,Sim,Q018010,Q18a,2019
2,Não,Q018010,Q18a,2019
9 ,Ignorado,Q018010,Q18a,2019
1,Sim,Q018011,Q18a,2019
2,Não,Q018011,Q18a,2019
9 ,Ignorado,Q018011,Q18a,2019
1,Sim,Q018012,Q18a,2019
2,Não,Q018012,Q18a,2019
9 ,Ignorado,Q018012,Q18a,2019
1,Sim,Q018013,Q18a,2019
2,Não,Q018013,Q18a,2019
9 ,Ignorado,Q018013,Q18a,2019
1,Sim,Q018014,Q18a,2019
2,Não,Q018014,Q18a,2019
9 ,Ignorado,Q018014,Q18a,2019
1,Sim,Q018015,Q18a,2019
2,Não,Q018015,Q18a,2019
9 ,Ignorado,Q018015,Q18a,2019
1,Sim,Q018016,Q18a,2019
2,Não,Q018016,Q18a,2019
9 ,Ignorado,Q018016,Q18a,2019
1,Sim,Q018017,Q18a,2019
2,Não,Q018017,Q18a,2019
9 ,Ignorado,Q018017,Q18a,2019
1,Sim,Q01910,Q19a,2019
2,Não,Q01910,Q19a,2019
9 ,Ignorado,Q01910,Q19a,2019
1,Sim,Q019101,Q19a,2019
2,Não,Q019101,Q19a,2019
3,"Não, mas está marcado",Q019101,Q19a,2019
9 ,Ignorado,Q019101,Q19a,2019
1,Sim,Q01911,Q19a,2019
2,Não,Q01911,Q19a,2019
9 ,Ignorado,Q01911,Q19a,2019
1,Sim,Q019111,Q19a,2019
2,Não,Q019111,Q19a,2019
3,"Não, mas está marcado",Q019111,Q19a,2019
9 ,Ignorado,Q019111,Q19a,2019
1,Sim,Q01912,Q19a,2019
2,Não,Q01912,Q19a,2019
9 ,Ignorado,Q01912,Q19a,2019
1,Sim,Q019121,Q19a,2019
2,Não,Q019121,Q19a,2019
3,"Não, mas está marcado",Q019121,Q19a,2019
9 ,Ignorado,Q019121,Q19a,2019
1,Sim,Q01913,Q19a,2019
2,Não,Q01913,Q19a,2019
9 ,Ignorado,Q01913,Q19a,2019
1,Sim,Q019131,Q19a,2019
2,Não,Q019131,Q19a,2019
3,"Não, mas está marcado",Q019131,Q19a,2019
9 ,Ignorado,Q019131,Q19a,2019
1,Sim,Q022,Q22,2019
2,Não,Q022,Q22,2019
3,"Não houve encaminhamento, pois todas as consultas para hipertensão foram com médico especialista",Q022,Q22,2019
9 ,Ignorado,Q022,Q22,2019
1,"Sim, todas                  ",Q02301,Q23a,2019
2,"Sim, algumas",Q02301,Q23a,2019
3,"Não, nenhuma",Q02301,Q23a,2019
9 ,Ignorado,Q02301,Q23a,2019
1,Sim,Q026,Q26,2019
2,Não,Q026,Q26,2019
9 ,Ignorado,Q026,Q26,2019
1,Menos de 6 meses,Q02701,Q27a,2019
2,De 6 meses a menos de 1 ano,Q02701,Q27a,2019
3,De 1 ano a menos de  2 anos,Q02701,Q27a,2019
4,De 2 anos a menos de 3 anos,Q02701,Q27a,2019
5,3 anos ou mais,Q02701,Q27a,2019
9 ,Ignorado,Q02701,Q27a,2019
1,Não limita,Q028,Q28,2019
2,Um pouco,Q028,Q28,2019
3,Moderadamente,Q028,Q28,2019
4,Intensamente,Q028,Q28,2019
